"SUM_checkouts","publicationyear"
"1","07/2018."
"1","1406 H., 1986."
"2","1431 [2010]"
"1","1812."
"2","1824."
"2","[1828-1833]"
"1","1833."
"1","1834-1835."
"1","1839."
"1","1842."
"1","1843."
"3","1846."
"1","1849."
"3","1850."
"2","1854."
"3","1855-1857."
"2","1856."
"5","1857."
"1","1860."
"1","1864."
"1","[1865?]"
"1","[1868?]"
"3","1868."
"2","[1869]"
"2","1869."
"9","1870."
"13","1871."
"2","[1873]"
"8","1875."
"3","1877."
"6","1878."
"1","[1879]"
"2","[1880?]"
"1","[1880]"
"1","1880."
"1","1881."
"1","1882."
"2","1883."
"5","1884."
"5","1885."
"8","[1886?]"
"2","[1886]"
"3","[1887?]"
"1","[1887]"
"2","1887."
"2","[1887-1890]"
"1","[1888]"
"4","1888."
"8","1889."
"1","[1890]"
"11","1890."
"1","1890-1893."
"1","1890, 1898."
"3","[1891?]"
"2","1891-"
"8","1891."
"1","1891-1904."
"4","[1892]"
"4","1892."
"5","[1893]"
"6","1893."
"2","1893-1898."
"5","[1894]"
"13","1894."
"1","1894-1897."
"1","1894-1902."
"8","[1895]"
"18","1895."
"1","1895-1896."
"1","1895-1900."
"1","[1895 or 1896]"
"3","[1896]"
"1","1896?."
"16","1896."
"7","[1897]"
"13","1897."
"14","[1898]"
"13","1898."
"4","[1899]"
"10","1899."
"2","[19--]"
"1","19-?"
"3","[1900?]"
"4","[1900]"
"32","1900."
"1","1900-1913."
"1","1900, pref. 1877."
"6","[1901]"
"40","1901."
"1","[1902?]"
"4","[1902]"
"22","1902."
"3","1902-1916."
"10","[1903]"
"22","1903."
"3","1903-1905."
"8","[1904]"
"10","1904."
"2","1904-37."
"3","[1905?]"
"9","[1905]"
"22","1905."
"1","1905-06."
"1","1905-1907."
"8","[1906]"
"13","1906."
"1","1906-12 [irregular]"
"1","1906 [1905]"
"3","1906-1908."
"12","[1907]"
"18","1907."
"1","1907-1909."
"1","1907-1958."
"10","[1908]"
"24","1908."
"14","[1909]"
"2","1909-"
"39","1909."
"2","[1910?]"
"15","[1910]"
"34","1910."
"1","[1910 ;] [1907]"
"5","[1910]-1924."
"9","[1911]"
"29","1911."
"1","1911-1913."
"8","[1912]"
"44","1912."
"8","[1913]"
"33","1913."
"13","[1914]"
"33","1914."
"1","1914; 1972."
"1","[1915?]"
"20","[1915]"
"34","1915."
"1","1915-1919."
"1","[1916?]"
"28","[1916]"
"38","1916."
"14","[1917]"
"35","1917."
"1","1917-[18]"
"2","1917-25."
"17","[1918]"
"25","1918."
"21","[1919]"
"15","1919."
"1","[1919] 1922]"
"2","1919-1923."
"2","1919-1941."
"1","19- 1938."
"1","[1920?]"
"19","[1920]"
"34","1920."
"1","[1921?]"
"23","[1921]"
"26","1921."
"1","1921-22."
"16","[1922]"
"23","1922."
"1","1922-29."
"1","[1923?]"
"12","[1923]"
"14","1923-"
"40","1923."
"2","1923-1931."
"2","1923, 1940."
"2","1923-39."
"1","[1924?]"
"29","[1924]"
"40","1924."
"24","[1925]"
"45","1925."
"1","[1925, reprinted 1960]"
"2","[1926?]"
"20","[1926]"
"3","1926-"
"40","1926."
"1","1926-1927."
"1","1926-1965, t.p. 1965-1977."
"1","1926, 1996."
"2","[1927?]"
"53","[1927]"
"2","1927-"
"44","1927."
"3","©1927, ©1954."
"4","1927-1997."
"1","[1928?]"
"40","[1928]"
"67","1928."
"2","1928-1929."
"2","1928-1935."
"1","1928-1941."
"3","[1928-35]"
"1","[1928, renewed 1956]"
"1","[1929?]"
"56","[1929]"
"70","1929."
"1","1929-31."
"67","[1930]"
"5","[1930]-"
"49","1930."
"3","[1930-67]"
"2","[1931?]"
"29","[1931]"
"1","1931-"
"54","1931."
"2","1931-1952."
"4","[1932?]"
"34","[1932]"
"58","1932."
"97","[1933]"
"1","©1933."
"34","1933."
"2","1933-49."
"3","[1934?]"
"39","[1934]"
"1","©1934."
"5","1934-"
"48","1934."
"1","1934-1935."
"41","[1935]"
"58","1935."
"4","1935-1937."
"1","[1936-]"
"101","[1936]"
"1","1936-"
"289","1936."
"1","1936-1945."
"3","1936, 1972."
"5","[1937?]"
"180","[1937]"
"268","1937."
"1","[1937-42; v.1, 1942]"
"2","[1938?]"
"46","[1938]"
"2","1938?."
"87","1938."
"2","1938-1955."
"4","1938-53."
"1","[1939?]"
"182","[1939]"
"1","1939-"
"67","1939."
"1","1939-41."
"2","1939-c1995."
"237","[1940]"
"72","1940."
"2","1940-1942."
"1","1940-5701."
"2","[1941?]"
"89","[1941]"
"402","1941."
"5","1941-55."
"2","[1942,]"
"295","[1942]"
"1","[1942]."
"92","1942."
"4","1942-1977."
"1","[1943?]"
"75","[1943]"
"1","1943-"
"86","1943."
"1","[1944?]"
"77","[1944]"
"161","1944."
"1","[1944-62]"
"3","[1945-]"
"4","[1945?]"
"282","[1945]"
"1","1945?."
"76","1945."
"1","[1945, c1917]"
"2","[1945 or 1946]"
"72","[1946]"
"2","1946-"
"1","1946?."
"50","1946."
"1","1946-66."
"1","[1947?]"
"475","[1947]"
"460","1947."
"1","[1947-48]"
"8","1947-51."
"5","1947-62."
"1","1947 [that is, 1946]"
"2","[1948?]"
"312","[1948]"
"407","1948."
"1","1948-[1957]"
"1","1948-1981."
"3","[1949?]"
"388","[1949]"
"89","1949."
"3","1949-1950."
"1","1949?-1950."
"1","1949-53."
"2","[1950?]"
"120","[1950]"
"5","1950-"
"263","1950."
"2","[1950-51]"
"1","1950-53."
"209","[1951]"
"1","1951-"
"1","1951?."
"172","1951."
"1","[1951-<1991>]"
"8","[1951-57, v. 1, 1952]"
"4","[1952?]"
"439","[1952]"
"1","©1952."
"2","1952-"
"2","1952;"
"88","1952."
"1","[1952-53]"
"3","1952-54."
"2","1952-59."
"3","[1953-]"
"2","[1953?]"
"454","[1953]"
"345","1953."
"4","[1953, 1972]"
"1","[1953], 1975 printing."
"12","1953-1989."
"1","1953-57."
"1","1953-c1989."
"7","[1954?]"
"581","[1954]"
"91","1954."
"1","1954-1967."
"2","1954-<1988 >"
"1","1954-78."
"1","1954-84."
"1","[1955-]"
"11","[1955?]"
"617","[1955]"
"11","©1955."
"108","1955."
"3","1955-1974."
"1","1955-<1996 >"
"4","[1955, [2012]"
"1","1955-56."
"2","1955 [that is, 1956]"
"6","[1956?]"
"755","[1956]"
"3","1956-"
"124","1956."
"1","1956-1957."
"1","[1956-1961]"
"1","1956-1968."
"10","1956-58."
"8","[1957?]"
"1262","[1957]"
"94","1957."
"1","1957-1958."
"1","1957-79."
"2","[1958?]"
"1732","[1958]"
"218","1958."
"1","1958-59."
"2","[1958-60]"
"6","1958-61."
"1","1958 [that is, 1959]"
"1","[1959-]"
"21","[1959?]"
"633","[1959]"
"4","1959-"
"166","1959."
"2","1959-1970."
"2","[©1960]"
"2","[1960?]"
"2004","[1960]"
"372","1960."
"5","[1960, 1961]"
"4","1960-1961."
"1","1960-1977."
"1","1960-1986."
"1","1960-63."
"17","1960-82."
"3","[1961?]"
"2122","[1961]"
"290","1961."
"3","1961-1962."
"1","1961-1964."
"2","1961-1966."
"1","1961-65."
"4","1961 [that is, 1962]"
"1","[1962-]"
"8","[1962?]"
"2210","[1962]"
"2","1962-"
"156","1962."
"10","1962, ©1961."
"1","1962-1966."
"3","[1962, [2012]"
"6","[1962- c1946-]"
"1","[1962-c1993]"
"1","<1963>."
"4","[1963?]"
"1663","[1963]"
"1","[1963]."
"673","1963."
"2","[1963-1965]"
"1","1963-1966."
"2","[1963-1973, c1962-1966]"
"2","1963-65."
"3","1963-[71]"
"4","[1964-]"
"1234","[1964]"
"299","1964."
"1","1964, 1957."
"2","[1964, 1980]"
"2","1964-19<91 >"
"16","1964 [that is, 1965]-<1980 >"
"3","-1965."
"8","[1965-]"
"10","[1965?]"
"1229","[1965]"
"1","©1965."
"1","1965-"
"457","1965."
"1","1965-[1968]"
"2","1965-1969."
"3","1965-67."
"1","[1965-71]"
"2","1965-71."
"1","[1965-72]"
"2","[1965, c1964-]"
"1","[1965]-c1985."
"2","(1966)"
"5","[1966?]"
"1090","[1966]"
"3","[1966]-"
"2","©1966."
"1","1966-"
"320","1966."
"2","[1966, 1962]"
"3","1966-1988."
"1","1966-68."
"1","1966-69."
"2","[1966, c1976]"
"1","[1966, i.e. 1967]"
"1","1966 [that is, 1967]"
"1","(1967)"
"5","[1967?]"
"1440","[1967]"
"16","©1967"
"5","1967-"
"424","1967."
"5","[1967, 1998]"
"4","1967-<c1981 >"
"1","1967 [that is, 1968]"
"1","1967 [that is, 1969]"
"9","[1968?]"
"1877","[1968]"
"3","1968-"
"243","1968."
"2","1968)"
"2","[1968-69]"
"1","[1968-72. v. 1, c. 1967]"
"2","[1968, c1970]"
"1","1968 [that is, 1969]"
"1","[1969?]"
"1220","[1969]"
"39","©1969."
"7","1969-"
"238","1969."
"1","[1969, 1964]"
"2","1969-1975."
"15","[1969-1980]"
"1","1969-70."
"1","[1969-71]"
"1","[1969-75; v. 1, 1975, v. 11, 1969]"
"16","[1969, c1997]"
"1","1969 [that is, 1970]"
"1","[1969- v. 1, 1970]"
"2","[196-?, c1958]"
"2","[197?]"
"15","[1970?]"
"1735","[1970]"
"33","©1970."
"2","1970-"
"881","1970."
"1","[1970, 1969]"
"5","[1970]-<1983 >"
"1","1970-<1986 >"
"1","1970-1993."
"5","[1970, 1996 and 2013]"
"6","[1970, 2004]"
"1","1970-76."
"43","[1970, c1952]"
"3","[1971-]"
"6","[1971?]"
"2","[1971.]"
"1580","[1971]"
"17","©1971."
"152","1971-"
"589","1971."
"1","1971]"
"7","1971, ©1967."
"1","<1971-1972>"
"1","1971-1992."
"4","[1971, 2004]"
"2","1971-74."
"1","1971, c1953."
"1","[1971, i.e. 1972]"
"3","[1972-]"
"3","[1972?]"
"2031","[1972]"
"6","[1972]."
"9","1972-"
"712","1972."
"7","[1972], ©1949."
"6","[1972], 1959."
"2","1972, ©1967."
"6","1972, ©1970."
"1","[1972-<73] >"
"3","[1972-74]"
"1","[1972-75]"
"2","[1972]-c1981."
"1","1972-c1989."
"1","[1972, i.e. 1973]"
"5","[1973-]"
"4","[1973?]"
"1582","[1973]"
"55","©1973."
"2","1973-"
"668","1973."
"1","[1973-<1976>]"
"1","[1973]-1978."
"1","1973-<1981 >"
"7","1973-1984."
"4","[1973-75]"
"2","[1974-]"
"30","[1974?]"
"1959","[1974]"
"1","©1974."
"8","1974-"
"454","1974."
"1","1974-1975."
"1","[1974-1977]"
"2","1974 [1981 or 1982]"
"1","[1974-76]"
"3","1974 [that is, 1975]"
"16","[1975?]"
"1485","[1975]"
"679","1975."
"15","1975-1979."
"2","1975-1983."
"2","1975-1986."
"31","[1975, c1947]"
"2","[1975, c1948]"
"1","[1975, c1955]"
"1","1975 [that is, 1976]"
"4","[1976?]"
"1322","[1976]"
"1","©1976."
"2","1976-"
"735","1976."
"5","1976, ©1973."
"2","1976-1977."
"1","1976-1980."
"3","[1976, [2012]"
"1","1976 i.e. 1977."
"1","[1976- p1975-]"
"1","[1976. Pub. no. 44332]"
"8","[1977?]"
"1591","[1977]"
"1","1977-"
"1225","1977."
"1","1977, ©1951."
"20","[1977, 1954]"
"5","1977, ©1963."
"12","1977, ©1967"
"1","1977-1979."
"2","1977-<1981 > c1976-<c1981 >"
"20","1977-1983."
"1","1977-1987."
"4","[1977, c1948]"
"10","1977-c1984."
"16","[1977, c2009]"
"1","1977 [that is, 1976]"
"68","1978"
"10","[1978?]"
"1840","[1978]"
"2","©1978."
"159","1978-"
"1053","1978."
"10","1978, ©1952."
"6","1978, ©1977."
"1","1978-1983."
"1","1978-1984."
"1","1978-1986."
"1","1978-1992."
"11","[1979?]"
"1902","[1979]"
"2","©1979."
"38","1979-"
"773","1979."
"5","1979, ©1965."
"14","1979, ©1968."
"6","[1979, 1969]c1977."
"2","1979-1980."
"2","1979-1984."
"1","1979 [1986 or 1987]"
"4","1979-1987."
"11","1979-1995."
"2","1979-<1996>"
"7","1979-1997."
"1","1979 ʻĀ.Me. [i.e. 1987]"
"6","[1979, c1951]"
"4","[1979, c2004]"
"1","[198-?-]"
"7","[1980?]"
"2271","[1980]"
"21","©1980."
"4","1980-"
"637","1980."
"42","1980, ©1960."
"20","1980, ©1977."
"1","1980-1981."
"10","1980-1982."
"1","1980-1984."
"4","[1980?]-c1990."
"11","[1981?]"
"2520","[1981]"
"2","1981-"
"761","1981."
"1","[1981, 1982]"
"1","1981-1985."
"2","1981-<1987 >"
"2","1981-1989."
"1","1981-1990."
"1","1981-<1991 >"
"1","[1981] 2001."
"23","[1981, 2013]"
"39","[198-?], ℗1976."
"1","[1981 or 1982]"
"9","[1982?]"
"2385","[1982]"
"68","©1982."
"1","1982-"
"2","1982?."
"924","1982."
"25","1982, ©1963."
"1","1982, ©1980."
"1","1982-1985."
"1","[1982]-[1988]"
"3","1982-<1988 >"
"1","1982-<1990>"
"3","©1982, 1991."
"1","1982-<1993 >"
"11","[1982, c1952]"
"1","[1982 or 1983]"
"1","[1983-]"
"4","[1983?-]"
"28","[1983?]"
"2635","[1983]"
"243","©1983."
"3","1983-"
"930","1983."
"39","1983, ©1966."
"8","1983, ©1974."
"17","[1983], ©1977."
"1","[1983-1985]"
"2","[1983?-1985?]"
"1","1983-1985."
"7","1983-<1986>"
"1","1983-1986."
"1","1983-[1988 or 1989]"
"1","1983-1996."
"4","[1983], p1975]"
"120","[1984?]"
"1","[1984?]-"
"3011","[1984]"
"214","©1984."
"8","℗1984."
"864","1984."
"4","[1984], ©1967."
"3","1984, ©1982."
"1","1984-<1987 >"
"1","1984-1987."
"1","[1984?]-<1988>"
"1","1984-<1988 >"
"1","[1984?-1991]"
"2","1984-1994."
"1","[1984], c1962]"
"6","[1984], c1975."
"3","1984,.c1980."
"1","[1984]-c1987."
"8","[1984, c2004]"
"2","<1985- >"
"2","[1985-]"
"188","[1985?]"
"3963","[1985]"
"261","©1985."
"5","1985-"
"1154","1985."
"2","1985, ©1937."
"6","[1985], ©1953."
"1","1985, ©1969."
"4","1985, [1973]"
"8","1985, ©1977."
"15","1985, ©1984."
"1","1985-<1991 >"
"467","[1985, 2010]"
"188","[1985, c1957]"
"1","[1985-<c1989 >]"
"10","[1985], p1984]"
"8","[1985, p2006]"
"1","<1986>"
"88","[1986?]"
"3677","[1986]"
"434","©1986."
"2","℗1986."
"99","1986-"
"1693","1986."
"2","[1986?], ©1961."
"76","1986, 1972."
"1","1986, 1980."
"12","1986, ©1982."
"2","1986, ©1983."
"6","1986, ©1985."
"6","<1986-1988>."
"1","1986-1989."
"4","1986-1997."
"3","1986, c1983-1994."
"3","[1986-<c1988 >]"
"8","[1986], p1956]"
"8","[1986, p1976]"
"476","[1987?]"
"5348","[1987]"
"430","©1987."
"41","℗1987."
"1","1987-"
"1922","1987."
"8","1987, ©1963."
"4","[1987], 1969."
"16","[1987], ℗1978."
"1","1987, ©1986."
"3","1987-1989."
"1","1987-1992."
"2","1987-1995."
"6","1987-2006."
"1","1987-2009."
"9","1987, c.1978."
"10","1987, c1985."
"42","1988"
"352","[1988?]"
"4600","[1988]"
"10","[1988]."
"181","©1988."
"78","℗1988."
"2","1988-"
"2110","1988."
"25","1988, ©1950."
"1","1988, 1951."
"59","1988, ©1956."
"15","1988, 1964."
"3","[1988], ©1967."
"15","[1988], ℗1969."
"16","[1988], ℗1974."
"4","1988, 1975."
"21","[1988?], ℗1976."
"16","©1988, ℗1984."
"14","1988, ©1985."
"34","1988, ©1986."
"34","1988, ©1987."
"12","1988, 1987."
"1","1988-1989."
"2","1988-<1991 >"
"3","1988-1991."
"1","1988-89."
"1","[1988, c1984]"
"1","1988, c1987-"
"3","[1988, i.i. 1999]"
"12","[1988], p1966]"
"1","[1988], p1975]"
"3","[1988], p1976]"
"11","[1988, p1985]"
"1","1988 [that is, 1990]"
"4","1989"
"6","<1989>-"
"185","[1989?]"
"5834","[1989]"
"26","©1989."
"128","℗1989."
"63","1989-"
"2934","1989."
"4","[1989], ©1959, ©1922."
"17","©1989, ℗1961."
"18","1989, ©1967."
"10","©1989, ℗1973."
"1","1989, ©1977."
"7","[1989], ©1988."
"17","1989, ©1988."
"1","1989-<1991 >"
"2","1989-<1994>"
"3","[1989, [2000]"
"2","1989, 2001."
"4","1989, c1979."
"1","[198?], c1923."
"1","[198?], c1968."
"94","[199-?]"
"65","[199?]"
"4","©199-?."
"598","[1990?]"
"5809","[1990]"
"15","[1990]."
"187","©1990."
"121","℗1990."
"2","1990-"
"1","1990?."
"3093","1990."
"30","1990, ©1949."
"6","1990, [1961]"
"15","1990, ©1971."
"1","1990, 1971."
"37","[1990], ℗1972."
"15","[1990], ℗1973."
"2","[1990], ©1976."
"28","[1990], ℗1977."
"19","[1990], ℗1985."
"3","1990, ©1988."
"17","1990, ©1989."
"2","1990-<1996>"
"1","1990-<1997>"
"14","[1990, c1945]"
"29","[1990, [c1977]"
"1","[1990], c1978"
"14","[1990, p1971]"
"14","[1990, p1975]"
"27","[1990], p1977]"
"18","[1990, [p1989]"
"5","[1990], p1989]"
"5","1991"
"321","[1991?]"
"6297","[1991]"
"7","[1991]."
"609","©1991."
"41","℗1991."
"3","1991-"
"3508","1991."
"1","1991, 1909."
"18","1991, ©1935."
"4","1991, ©1971."
"5","[1991], ©1975."
"5","1991, ©1976."
"2","1991, ©1983."
"1","1991, ©1988."
"14","1991, ©1990."
"4","1991-<1996 >"
"1","1991-1997."
"11","1991-2009."
"34","[1991;] 2012."
"85","1991, ℗2017."
"32","[1991, c1975]"
"2","[1991], c1987."
"4","1991, c1990."
"18","[1991, p1974]"
"22","[1991, p1978]"
"39","[1991, p1980]"
"4","<1992>"
"3","[©1992]"
"91","[1992?]"
"5771","[1992]"
"190","©1992."
"71","℗1992."
"8","1992-"
"5","1992-."
"3","1992?."
"4579","1992."
"42","[1992]. ©1955."
"3","[1992], ©1980."
"21","[1992], ℗1980."
"3","1992, ©1990."
"2","1992. 1990."
"11","1992, ©1991."
"1","1992, 1991."
"6","[1992, [2005]"
"15","1992, c1981."
"2","1992, c1990."
"3","1992, c1997."
"4","[1992, p1964]"
"2","[1992, p1974]"
"52","[1992, p1979]"
"3","[1992], p1989]"
"9","[1992], p1990]"
"1","<1993- >"
"3","[1993-]"
"195","[1993?]"
"7283","[1993]"
"35","[1993]."
"368","©1993."
"88","℗1993."
"8","1993-"
"4209","1993."
"3","[1993], ©1964"
"16","©1993, ©1970."
"1","1993, ©1971."
"65","[1993], ℗1976."
"2","[1993, 1978]"
"1","[1993, 1989]"
"3","1993, ©1992."
"3","<[1993]-1994 >"
"1","1993-1994."
"2","[1993, 1995]"
"10","1993-1995."
"1","1993-<1998>"
"1","[1993, 2006]"
"2","[1993, c1971]"
"3","[1993, c1979]"
"9","[1993, c1990]"
"16","1993, c1992."
"5","[1993], p1962, 1969]"
"7","[1993], p1976]"
"16","[1993], p1977]"
"11","[1993, p1992]"
"2","1993 (reprinted 1997)"
"2","[1993 [that is, 1995]"
"7","[1994-]"
"327","[1994?]"
"8030","[1994]"
"8","©1994-"
"282","©1994."
"31","℗1994."
"9","1994-"
"4799","1994."
"5","[1994, 1969]"
"6","1994, ©1972."
"5","[1994], ©1982."
"30","[1994, 1989]"
"16","1994, ©1990."
"7","©1994, ℗1992."
"21","©1994, ℗1993."
"15","1994, ©1993."
"5","1994-<1995>"
"42","[1994, [2001]"
"74","[1994, c1953]"
"12","[1994, p1974]"
"4","[1994, p1981]"
"24","[1994, p1993]"
"12","1995"
"434","[1995?]"
"8522","[1995]"
"1","[1995]."
"137","©1995."
"167","℗1995."
"4","1995-"
"6234","1995."
"7","[1995], ©1968."
"22","©1995, ℗1978."
"8","1995, ©1985."
"3","1995, ©1993."
"25","1995, ©1994."
"1","1995-1999"
"3","[1995, 1999, p2003]"
"2","1995 [2002 or 2003]"
"2","[1995, 2006]"
"22","[1995, 2012]"
"281","[1995, c1967]"
"9","[1995], c1983."
"67","[1995, c1994]"
"10","1995, c1994."
"15","[1995, c2012]"
"8","[1995, p1990]"
"22","[1995, p1991]"
"1","<1996- >"
"157","[1996?]"
"8397","[1996]"
"31","[1996]."
"290","©1996."
"117","℗1996."
"5","1996-"
"6489","1996."
"11","[1996], ℗1972."
"1","1996, ©1986."
"5","1996, ©1987."
"11","[1996], ©1995."
"9","1996, ©1995."
"1","1996-<1998 >."
"4","[1996, [2012]"
"25","[1996, 2017]"
"3","[1996, c1961]"
"2","[1996, c1982]"
"4","[1996, c1995]"
"18","[1996, p1980]"
"2","[1996, p1982]"
"4","[1996, p1991]"
"135","1997"
"11","[©1997]"
"5","[1997?- ]"
"325","[1997?]"
"10224","[1997]"
"6","[1997]."
"131","©1997."
"170","℗1997."
"27","1997-"
"7368","1997."
"7","1997, 1957."
"27","[1997], ℗1974."
"15","1997, ©1974."
"26","[1997], ℗1975."
"7","1997, 1977."
"28","[1997], ℗1980."
"36","℗1997, ℗1982."
"25","[1997], ℗1984."
"18","1997, ©1985."
"32","[1997], ©1988"
"1","1997, 1990."
"1","1997, ©1992."
"12","1997, ©1994."
"6","[1997], ©1995."
"3","1997, ©1995."
"33","1997, ©1996."
"3","[1997, 1998]"
"2","1997-1999."
"5","[1997, c1991]"
"2","[1997, c1994]"
"7","1997, c1995."
"3","1997, c1996."
"13","[1997, p1964]"
"3","[1997], p1966]"
"20","[1997, p1973]"
"10","[1997, p1977]"
"10","[1997, p1978]"
"8","[1997, p1982]"
"8","[1997, p1984]"
"25","[1997, p1990]"
"12","[1997, p1996]"
"1","1997 [that is, 1998]"
"8","1998"
"1","<1998 >"
"73","[©1998]"
"517","[1998?]"
"15040","[1998]"
"315","©1998."
"55","℗1998."
"13","1998-"
"10584","1998."
"2","[1998,1944]"
"2","1998, ©1958."
"3","1998, 1964."
"1","[1998?], 1966."
"19","[1998?], 1971."
"52","©1998, ℗1980."
"1","1998, 1987."
"9","1998, ©1988."
"63","1998, ©1993."
"23","1998, ©1994."
"2","1998, ©1996."
"2","[1998], ©1997."
"24","1998, ©1997."
"48","1998, 1997."
"2","1998-1999."
"1","1998, 1999."
"1","1998-2000."
"5","[1998, 2003]"
"6","[1998, 2005]"
"12","[1998], c1926."
"9","[1998, c1981]"
"14","[1998, c1987]"
"7","[1998, c1989]"
"48","1998, c1997."
"9","[1998, c2014]"
"1","[1998], p1967]"
"46","[1998, p1973]"
"1","[1998, p1974]"
"6","[1998, p1977]"
"11","[1998, p1980]"
"5","[1998, p1989]"
"15","[1998, p1990]"
"6","[1998], p1995]"
"9","[1998, p1997]"
"33","1999"
"2","<1999- >"
"684","[1999?]"
"6","[1999?]-"
"17362","[1999]"
"851","©1999."
"67","℗1999."
"17","1999-"
"89","1999?."
"14543","1999."
"17","[1999], ©1979."
"15","1999, 1979."
"10","[1999, 1980]"
"4","[1999], ℗1980."
"2","1999, 1983."
"11","℗1999, ℗1990."
"4","1999, ©1990."
"142","[1999?], 1993."
"38","1999, ©1994."
"23","1999, ©1997."
"2","1999, 1997."
"12","[1999, 1998]"
"23","1999, ©1998."
"1","1999, 1998."
"5","1999-2000."
"2","[1999, 2001]"
"38","[1999, 2003]"
"1","1999 [2006 or 2007]"
"61","1999-2013."
"1","[1999, c1943]"
"3","1999, c1959."
"1","[1999, c1983]"
"24","[1999, c1995]"
"3","[1999, c1997]"
"19","1999, c1998."
"24","[1999, p1975]"
"35","[1999, p1976]"
"43","[1999, p1977]"
"26","[1999, p1980]"
"23","[1999, p1982]"
"10","[1999], p1982]"
"2","[1999], p1988]"
"1","1999 [that is, 2000]"
"13","[199-? p1959]"
"150","[20--?]"
"23","[20??]"
"5","[200-]"
"15","[200?]"
"6","2000"
"1123","[2000?]"
"18344","[2000]"
"2","[2000]."
"17","©2000"
"390","©2000."
"74","℗2000."
"60","2000-"
"15769","2000."
"3","2000, 1847."
"8","2000, 1881."
"3","℗2000, ©1960."
"3","2000, ©1960."
"10","2000, ℗ & ©1967."
"34","2000, 1970."
"8","2000, ©1976."
"23","©2000, ℗1977."
"6","2000, ©1982."
"79","[2000,1985]"
"44","[2000?], ©1990."
"53","[2000], 1991."
"26","[2000, 1992]"
"3","2000, ©1992."
"2","[2000, 1993]"
"11","℗2000, ©1995."
"13","[2000], ©1998."
"20","2000, 1998."
"2","[2000?], ©1999."
"8","[2000], ©1999."
"17","℗2000, ℗1999."
"33","2000, ©1999."
"2","2000, 1999."
"1","2000,1999."
"29","[2000, 2001]"
"5","2000-2002."
"2","[2000-2004]"
"2","[2000, 2004]"
"5","[2000, [2006]"
"1","2000-2009."
"1","2000, 2015."
"5","[2000, c1961]"
"359","[2000, c1969]"
"7","[2000, c1972]"
"15","[2000], c1985]"
"2","[2000, c1993]"
"8","2000, c1998."
"109","[2000, c1999]"
"3","[2000], c1999."
"2","2000, c1999."
"21","[2000, c2001]"
"204","[2000 or 2001]"
"14","[2000 or 2001]."
"24","[2000, p1967]"
"3","[2000, p1970]"
"28","[2000, p1971]"
"28","[2000, p1972]"
"51","[2000, p1973]"
"55","[2000, p1974]"
"55","[2000, p1976]"
"20","[2000], p1978]"
"35","[2000], p1979]"
"9","[2000, p1981]"
"14","[2000], p1981]"
"29","[2000, p1982]"
"8","[2000], p1982]"
"19","[2000], p1984]"
"11","[2000], p1999]"
"379","[2001?]"
"21036","[2001]"
"16","©2001"
"584","©2001."
"273","℗2001."
"10","2001-"
"17328","2001."
"44","©2001, 1962."
"1","2001,1966."
"1","2001,1981."
"64","[2001, 1991]"
"36","2001, ©1991."
"14","[2001], ©1994"
"7","[2001], ©1994."
"5","[2001], 1994."
"8","2001, 1994."
"20","℗2001, ℗1995."
"14","[2001], ℗1996."
"5","2001, ©1996."
"2","[2001, 2000]"
"128","[2001], ©2000."
